Time;Event;Name;MyEnergie;MyGunHeat;MyGunHeading;MyHeading;MyRadarHeading;MyVelocity;EnemyName;Energy;Distance;Bearing;Heading;Velocity
8;ScannedRobot;MyRobot.Nabucodonosor*;100.00;2.20;275.01;275.01;275.01;8.00;sample.Crazy;100.00;363.01;-20.58;92.46;8.00
9;ScannedRobot;MyRobot.Nabucodonosor*;100.00;2.10;259.01;279.01;254.43;8.00;sample.Crazy;100.00;348.37;-25.62;96.46;8.00
10;ScannedRobot;MyRobot.Nabucodonosor*;100.00;2.00;253.39;283.01;253.39;8.00;sample.Crazy;100.00;334.38;-30.92;100.46;8.00
11;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.90;252.09;287.01;252.09;8.00;sample.Crazy;100.00;321.19;-36.51;104.46;8.00
12;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.80;250.51;291.01;250.51;8.00;sample.Crazy;100.00;308.96;-42.38;108.46;8.00
13;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.70;248.63;295.01;248.63;8.00;sample.Crazy;100.00;297.89;-48.56;112.46;8.00
14;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.60;246.45;299.01;246.45;8.00;sample.Crazy;100.00;288.16;-55.05;116.46;8.00
15;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.50;243.97;303.01;243.97;8.00;sample.Crazy;100.00;279.95;-61.82;120.46;8.00
16;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.40;241.20;307.01;241.20;8.00;sample.Crazy;100.00;273.33;-68.83;123.46;8.00
17;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.30;238.18;311.01;238.18;8.00;sample.Crazy;100.00;267.53;-75.97;119.46;8.00
18;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.20;235.04;315.01;235.04;8.00;sample.Crazy;100.00;262.60;-83.21;115.46;8.00
19;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.10;231.80;311.80;231.80;8.00;sample.Crazy;100.00;257.60;-83.29;111.46;8.00
20;ScannedRobot;MyRobot.Nabucodonosor*;100.00;1.00;228.51;308.51;228.51;8.00;sample.Crazy;100.00;252.51;-83.34;107.46;8.00
21;ScannedRobot;MyRobot.Nabucodonosor*;100.00;0.90;225.17;305.17;225.17;8.00;sample.Crazy;100.00;247.36;-83.40;103.46;8.00
22;ScannedRobot;MyRobot.Nabucodonosor*;100.00;0.80;221.76;301.76;221.76;8.00;sample.Crazy;100.00;242.14;-83.47;99.46;8.00
23;ScannedRobot;MyRobot.Nabucodonosor*;100.00;0.70;218.30;298.30;218.30;8.00;sample.Crazy;100.00;236.86;-83.53;95.46;8.00
24;ScannedRobot;MyRobot.Nabucodonosor*;100.00;0.60;214.76;294.76;214.76;8.00;sample.Crazy;100.00;231.54;-83.61;91.46;8.00
25;ScannedRobot;MyRobot.Nabucodonosor*;100.00;0.50;211.16;291.16;211.16;8.00;sample.Crazy;100.00;226.18;-83.68;87.46;8.00
26;ScannedRobot;MyRobot.Nabucodonosor*;100.00;0.40;207.47;287.47;207.47;8.00;sample.Crazy;100.00;220.79;-83.77;83.46;8.00
27;ScannedRobot;MyRobot.Nabucodonosor*;100.00;0.30;203.70;283.70;203.70;8.00;sample.Crazy;100.00;215.39;-83.86;79.46;8.00
