Time;Event;EnemyName;Energy;Distance;Bearing;Heading
57;ScannedRobot;sample.Walls;100,00;517,91;-1,93;270,00
58;ScannedRobot;sample.Walls;100,00;512,96;-8,25;270,00
121;ScannedRobot;sample.Walls;96,00;476,28;0,19;10,00
122;ScannedRobot;sample.Walls;96,00;471,31;-6,13;20,00
193;ScannedRobot;sample.Walls;104,00;118,35;11,10;90,00
194;ScannedRobot;sample.Walls;104,00;117,69;8,41;90,00
195;ScannedRobot;sample.Walls;104,00;117,40;5,48;90,00
196;ScannedRobot;sample.Walls;104,00;117,45;2,29;90,00
197;ScannedRobot;sample.Walls;104,00;117,82;-1,18;90,00
198;ScannedRobot;sample.Walls;104,00;118,48;-4,94;90,00
199;ScannedRobot;sample.Walls;104,00;119,42;-8,98;90,00
200;ScannedRobot;sample.Walls;104,00;120,62;-13,32;90,00
265;ScannedRobot;sample.Walls;100,00;301,60;1,89;180,00
266;ScannedRobot;sample.Walls;100,00;299,64;-3,01;180,00
267;ScannedRobot;sample.Walls;100,00;297,89;-7,99;180,00
330;ScannedRobot;sample.Walls;104,00;510,52;-1,37;270,00
331;ScannedRobot;sample.Walls;104,00;502,16;-6,87;270,00
397;ScannedRobot;sample.Walls;102,00;519,14;2,00;270,00
398;ScannedRobot;sample.Walls;102,00;518,97;-3,58;270,00
460;ScannedRobot;sample.Walls;100,00;519,11;-0,72;0,00
461;ScannedRobot;sample.Walls;100,00;511,15;-6,21;0,00
525;ScannedRobot;sample.Walls;96,00;423,74;-2,47;90,00
526;ScannedRobot;sample.Walls;96,00;411,39;-8,41;90,00
604;ScannedRobot;sample.Walls;100,00;244,87;3,51;90,00
605;ScannedRobot;sample.Walls;100,00;247,49;-2,22;90,00
606;ScannedRobot;sample.Walls;100,00;250,17;-8,08;90,00
672;ScannedRobot;sample.Walls;102,00;376,94;1,92;180,00
673;ScannedRobot;sample.Walls;102,00;377,68;-3,53;180,00
674;ScannedRobot;sample.Walls;102,00;378,55;-9,07;180,00
736;ScannedRobot;sample.Walls;100,00;450,86;-0,61;270,00
737;ScannedRobot;sample.Walls;100,00;444,96;-5,92;270,00
802;ScannedRobot;sample.Walls;98,00;613,01;2,12;270,00
803;ScannedRobot;sample.Walls;98,00;613,99;-3,66;270,00
866;ScannedRobot;sample.Walls;96,00;467,79;-0,17;0,00
867;ScannedRobot;sample.Walls;96,00;462,29;-5,50;0,00
929;ScannedRobot;sample.Walls;92,00;291,45;3,17;90,00
930;ScannedRobot;sample.Walls;92,00;279,77;-2,25;90,00
931;ScannedRobot;sample.Walls;92,00;268,19;-7,71;90,00
1008;ScannedRobot;sample.Walls;90,00;317,88;2,97;160,00
1009;ScannedRobot;sample.Walls;90,00;312,89;-3,34;170,00
1010;ScannedRobot;sample.Walls;88,00;307,96;-9,74;180,00
1077;ScannedRobot;sample.Walls;86,00;480,97;2,69;180,00
1078;ScannedRobot;sample.Walls;86,00;482,74;-3,08;180,00
1079;ScannedRobot;sample.Walls;86,00;484,59;-8,93;180,00
1142;ScannedRobot;sample.Walls;82,00;443,54;1,35;270,00
1143;ScannedRobot;sample.Walls;82,00;442,31;2,37;270,00
