Time;Event;EnemyName;Energy;Distance;Bearing;Heading
20;ScannedRobot;sample.Tracker;100,00;273,50;-59,29;107,31
21;ScannedRobot;sample.Tracker;100,00;271,48;-60,02;107,31
22;ScannedRobot;sample.Tracker;100,00;269,50;-60,75;107,31
23;ScannedRobot;sample.Tracker;100,00;267,57;-61,50;107,31
24;ScannedRobot;sample.Tracker;100,00;265,68;-62,26;107,31
25;ScannedRobot;sample.Tracker;100,00;263,84;-63,03;117,31
26;ScannedRobot;sample.Tracker;100,00;262,05;-63,81;127,31
51;ScannedRobot;sample.Tracker;100,00;206,38;-66,63;272,50
52;ScannedRobot;sample.Tracker;100,00;200,84;-65,26;272,50
53;ScannedRobot;sample.Tracker;100,00;195,43;-63,82;272,50
54;ScannedRobot;sample.Tracker;100,00;190,16;-62,30;272,50
55;ScannedRobot;sample.Tracker;100,00;185,02;-60,68;272,50
56;ScannedRobot;sample.Tracker;100,00;180,04;-58,98;272,50
57;ScannedRobot;sample.Tracker;100,00;175,22;-57,19;272,50
58;ScannedRobot;sample.Tracker;100,00;170,59;-55,29;272,50
60;ScannedRobot;sample.Tracker;100,00;164,11;-51,32;272,50
61;ScannedRobot;sample.Tracker;100,00;164,12;-49,45;272,50
62;ScannedRobot;sample.Tracker;100,00;166,24;-47,74;272,50
63;ScannedRobot;sample.Tracker;100,00;170,34;-46,25;272,50
64;ScannedRobot;sample.Tracker;100,00;174,54;-44,82;272,50
65;ScannedRobot;sample.Tracker;100,00;178,85;-43,47;272,50
66;ScannedRobot;sample.Tracker;100,00;183,25;-42,18;272,50
67;ScannedRobot;sample.Tracker;100,00;187,74;-40,95;272,50
68;ScannedRobot;sample.Tracker;100,00;192,31;-39,78;272,50
69;ScannedRobot;sample.Tracker;100,00;196,96;-38,66;272,50
71;ScannedRobot;sample.Tracker;100,00;206,46;-36,58;272,50
72;ScannedRobot;sample.Tracker;100,00;211,31;-35,61;272,50
73;ScannedRobot;sample.Tracker;100,00;216,22;-34,68;272,50
74;ScannedRobot;sample.Tracker;96,00;221,18;-33,80;272,50
75;ScannedRobot;sample.Tracker;96,00;226,19;-32,95;272,50
76;ScannedRobot;sample.Tracker;96,00;231,25;-32,14;282,50
77;ScannedRobot;sample.Tracker;96,00;236,35;-31,37;292,50
78;ScannedRobot;sample.Tracker;96,00;241,49;-30,63;300,21
79;ScannedRobot;sample.Tracker;96,00;245,68;-29,90;300,21
80;ScannedRobot;sample.Tracker;96,00;248,90;-29,18;300,21
81;ScannedRobot;sample.Tracker;96,00;251,17;-28,46;300,21
82;ScannedRobot;sample.Tracker;96,00;252,48;-27,73;300,21
83;ScannedRobot;sample.Tracker;96,00;252,84;-26,98;300,21
